
Clock type: CPU
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
..x_tricks.py:251 RClass.__getitem__  1      0.000033  0.000075  0.000075
..matplotlib/figure.py:84 <listcomp>  75     0.000074  0.000074  0.000001
../numeric.py:3094 errstate.__exit__  6      0.000017  0.000072  0.000012
.. GraphicsContextBase.set_clip_path  129    0.000072  0.000072  0.000001
..ines.py:193 Spine._adjust_location  4      0.000040  0.000072  0.000018
..rality/betweenness.py:329 _rescale  1      0.000071  0.000071  0.000071
...py:624 Rectangle.get_path_effects  129    0.000071  0.000071  0.000001
..GraphicsContextBase.get_hatch_path  129    0.000071  0.000071  0.000001
..figure.py:195 SubplotParams.update  2      0.000020  0.000070  0.000035
..xis.py:903 XAxis._set_artist_props  28     0.000032  0.000070  0.000003
..y:927 GraphicsContextBase.get_snap  129    0.000070  0.000070  0.000001
..e.py:3733 AxesSubplot.get_children  3      0.000035  0.000070  0.000023
..er/__init__.py:1804 Tk.wm_protocol  1      0.000016  0.000068  0.000068
.. _GeneratorContextManager.__init__  12     0.000052  0.000067  0.000006
..tplotlib/figure.py:1371 Figure.sca  1      0.000006  0.000064  0.000064
..icsContextBase.get_hatch_linewidth  129    0.000064  0.000064  0.000000
..70 process_projection_requirements  1      0.000012  0.000064  0.000064
..raphicsContextBase.get_hatch_color  129    0.000064  0.000064  0.000000
